sample;filament ;viscosity;strain;plant;slice;time
20200310WT_water_F22;filament 1;percoll;WT;timothy;22;
20200310WT_water_F23;filament 1;percoll;WT;timothy;23;
20200310WT_water_F24;filament 1;percoll;WT;timothy;24;
20200310WT_water_F25;filament 1;percoll;WT;timothy;25;
20200310WT_water_F26;filament 1;percoll;WT;timothy;26;
20200310WT_water_F27;filament 1;percoll;WT;timothy;27;
20200310WT_water_F28;filament 1;percoll;WT;timothy;28;
20200310WT_water_F29;filament 1;percoll;WT;timothy;29;
20200310WT_water_F30;filament 1;percoll;WT;timothy;30;
20200310WT_water_F31;filament 1;percoll;WT;timothy;31;
20200310WT_water_F32;filament 1;percoll;WT;timothy;32;
20200310WT_water_F33;filament 1;percoll;WT;timothy;33;
20200310WT_water_F34;filament 1;percoll;WT;timothy;34;
20200310WT_water_F35;filament 1;percoll;WT;timothy;35;
20200310WT_water_F36;filament 1;percoll;WT;timothy;36;
20200310WT_water_F37;filament 1;percoll;WT;timothy;37;
20200310WT_water_F38;filament 1;percoll;WT;timothy;38;
20200310WT_water_F39;filament 1;percoll;WT;timothy;39;
20200310WT_water_F40;filament 1;percoll;WT;timothy;40;
20200310WT_water_F41;filament 1;percoll;WT;timothy;41;
20200515WT_water_F39;filament 1;percoll;WT;tomato;39;
20200515WT_water_F40;filament 1;percoll;WT;tomato;40;
20200515WT_water_F41;filament 1;percoll;WT;tomato;41;
20200515WT_water_F42;filament 1;percoll;WT;tomato;42;
20200515WT_water_F43;filament 1;percoll;WT;tomato;43;
20200515WT_water_F44;filament 1;percoll;WT;tomato;44;
20200526WT_water_F39;filament 1;percoll;WT;tomato;39;
20200526WT_water_F40;filament 1;percoll;WT;tomato;40;
20200526WT_water_F41;filament 1;percoll;WT;tomato;41;
20200526WT_water_F42;filament 1;percoll;WT;tomato;42;
20200526WT_water_F43;filament 1;percoll;WT;tomato;43;
20200526WT_water_F44;filament 1;percoll;WT;tomato;44;
20200528WT_water_F1;filament 1;percoll;WT;tomato;1;
20200528WT_water_F2;filament 1;percoll;WT;tomato;2;
20200528WT_water_F3;filament 1;percoll;WT;tomato;3;
20200528WT_water_F4;filament 1;percoll;WT;tomato;4;
20200528WT_water_F5;filament 1;percoll;WT;tomato;5;
20200528WT_water_F6;filament 1;percoll;WT;tomato;6;
20200528WT_water_F7;filament 1;percoll;WT;tomato;7;
20200528WT_water_F8;filament 1;percoll;WT;tomato;8;
20200528WT_water_F9;filament 1;percoll;WT;tomato;9;
20200528WT_water_F10;filament 1;percoll;WT;tomato;10;
20200528WT_water_F11;filament 1;percoll;WT;tomato;11;
20200528WT_water_F12;filament 1;percoll;WT;tomato;12;
20200601WT_mspercol_F2;filament 1;percoll;WT;tomato;2;
20200601WT_mspercol_F3;filament 1;percoll;WT;tomato;3;
20200601WT_mspercol_F4;filament 1;percoll;WT;tomato;4;
20200601WT_mspercol_F5;filament 1;percoll;WT;tomato;5;
20200601WT_mspercol_F6;filament 1;percoll;WT;tomato;6;
20200601WT_mspercol_F7;filament 1;percoll;WT;tomato;7;
20200601WT_mspercol_F8;filament 1;percoll;WT;tomato;8;
20200601WT_mspercol_F9;filament 1;percoll;WT;tomato;9;
20200601WT_mspercol_F10;filament 1;percoll;WT;tomato;10;
20200601WT_mspercol_F11;filament 1;percoll;WT;tomato;11;
20200601WT_mspercol_F12;filament 1;percoll;WT;tomato;12;
20200601WT_mspercol_F13;filament 1;percoll;WT;tomato;13;
20200601WT_mspercol_F14;filament 1;percoll;WT;tomato;14;
